27543,293824, 41.37, 0.00, 0.997, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.997, 90.22, 0.559, 76.43, 0.403, 0.00, 0.000
27544,293834, 41.37, 0.00, 0.999, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.999, 76.43, 0.530, 90.22, 0.423, 0.00, 0.000
27545,293845, 41.37, 0.00, 0.999, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.999, 89.55, 0.475, 76.43, 0.448, 0.00, 0.000
27546,293856, 41.37, 0.00, 0.998, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.998, 93.75, 0.482, 76.43, 0.388, 0.00, 0.000
27547,293866, 41.37, 0.00, 0.998, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.998, 74.07, 0.525, 89.55, 0.360, 0.00, 0.000
27548,293877, 41.37, 0.00, 0.998, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.998, 93.75, 0.562, 76.92, 0.362, 0.00, 0.000
27549,293888, 41.23, 0.00, 0.991, 0.000, 0.000, 0.000,0,0,0, 41.23, 0.991, 74.53, 0.499, 89.55, 0.360, 0.00, 0.000
27550,293898, 41.23, 0.00, 0.991, 0.000, 0.000, 0.000,0,0,0, 41.23, 0.991, 90.90, 0.525, 76.43, 0.401, 0.00, 0.000
27551,293909, 41.37, 0.00, 0.998, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.998, 76.43, 0.537, 89.55, 0.399, 0.00, 0.000
27552,293920, 41.37, 0.00, 0.999, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.999, 90.22, 0.525, 76.92, 0.381, 0.00, 0.000
27553,293930, 41.37, 0.00, 0.996, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.996, 76.92, 0.490, 90.22, 0.441, 0.00, 0.000
27554,293941, 41.37, 0.00, 0.998, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.998, 76.43, 0.500, 89.55, 0.395, 0.00, 0.000
27555,293952, 41.37, 0.00, 0.999, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.999, 93.75, 0.516, 76.92, 0.321, 0.00, 0.000
27556,293962, 41.37, 0.00, 0.994, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.994, 73.61, 0.517, 89.55, 0.340, 0.00, 0.000
27557,293973, 41.37, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.995, 94.48, 0.560, 76.92, 0.326, 0.00, 0.000
27558,293984, 41.37, 0.00, 0.997, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.997, 75.94, 0.491, 89.55, 0.302, 0.00, 0.000
27559,293994, 41.37, 0.00, 0.997, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.997, 89.55, 0.533, 76.92, 0.393, 0.00, 0.000
27560,294005, 41.37, 0.00, 0.996, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.996, 76.92, 0.519, 89.55, 0.400, 0.00, 0.000
27561,294016, 41.37, 0.00, 0.996, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.996, 89.55, 0.518, 76.92, 0.391, 0.00, 0.000
27562,294026, 41.37, 0.00, 0.995, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.995, 76.92, 0.459, 93.75, 0.454, 0.00, 0.000
27563,294037, 41.37, 0.00, 0.994, 0.000, 0.000, 0.000,0,0,0, 41.37, 0.994, 74.07, 0.518, 89.55, 0.342, 0.00, 0.000
27564,294048, 41.23, 0.00, 0.994, 0.000, 0.000, 0.000,0,0,0, 41.23, 0.994, 93.75, 0.545, 76.92, 0.329, 0.00, 0.000
